Time,Analog,Pressure(Kpa)
2.049022503,126,-113.5264
2.056828508,126,-113.5264
2.060977632,126,-113.5264
2.065072281,126,-113.5264
2.069273905,125,-113.87
2.077336098,125,-113.87
2.081541275,125,-113.87
2.085670661,125,-113.87
2.093717459,125,-113.87
2.097951452,126,-113.5264
2.102108865,126,-113.5264
2.106275752,126,-113.5264
2.1141911,126,-113.5264
2.11838404,126,-113.5264
2.122574217,125,-113.87
2.126853606,125,-113.87
2.134665927,125,-113.87
2.138846235,125,-113.87
2.142990622,126,-113.5264
2.151050446,126,-113.5264
2.155241412,126,-113.5264
2.159405141,126,-113.5264
2.163593344,126,-113.5264
2.171544614,125,-113.87
2.175781765,125,-113.87
2.179879967,126,-113.5264
2.184042907,125,-113.87
2.192011545,126,-113.5264
2.196205275,126,-113.5264
2.200366241,126,-113.5264
2.204542602,126,-113.5264
2.212581109,127,-113.1828
2.216768523,126,-113.5264
2.220944884,126,-113.5264
2.228933654,126,-113.5264
2.233192911,126,-113.5264
2.237393746,126,-113.5264
2.241520369,126,-113.5264
2.249344138,126,-113.5264
2.253579315,126,-113.5264
2.257752913,127,-113.1828
2.261900457,126,-113.5264
2.269850148,126,-113.5264
2.274184406,126,-113.5264
2.27829524,126,-113.5264
2.286224009,126,-113.5264
2.290396423,127,-113.1828
2.29457081,127,-113.1828
2.298775592,126,-113.5264
2.306711862,126,-113.5264
2.310885854,126,-113.5264
2.315081557,126,-113.5264
2.31922476,126,-113.5264
2.32718432,126,-113.5264
2.33134568,127,-113.1828
2.335604542,127,-113.1828
2.343514759,127,-113.1828
2.347747173,127,-113.1828
2.351922744,126,-113.5264
2.356145685,125,-113.87
2.364030243,126,-113.5264
2.36822792,126,-113.5264
2.372385728,126,-113.5264
2.376609063,127,-113.1828
2.384515728,127,-113.1828
2.388685773,127,-113.1828
2.392951345,127,-113.1828
2.400919589,126,-113.5264
2.405094766,126,-113.5264
2.409198099,127,-113.1828
2.413432092,125,-113.87
2.421377441,126,-113.5264
2.425584592,127,-113.1828
2.42969582,127,-113.1828
2.433892708,126,-113.5264
2.441849109,127,-113.1828
2.446058629,126,-113.5264
2.450286306,125,-113.87
2.458241918,125,-113.87
2.462414331,125,-113.87
2.466590297,125,-113.87
2.470757184,126,-113.5264
2.478726613,126,-113.5264
2.482914421,126,-113.5264
2.487141309,126,-113.5264
2.491334643,127,-113.1828
2.499152096,126,-113.5264
2.503378194,125,-113.87
2.507723899,125,-113.87
2.515605695,125,-113.87
2.519776529,126,-113.5264
2.524020391,126,-113.5264
2.528143462,126,-113.5264
2.536089995,126,-113.5264
2.540249382,126,-113.5264
2.54443719,126,-113.5264
2.548603288,125,-113.87
