Time,Analog,Pressure(Kpa)
3.156586295,113,-117.9932
3.160717655,114,-117.6496
3.166204556,113,-117.9932
3.172386992,113,-117.9932
3.17701691,113,-117.9932
3.18110998,113,-117.9932
3.186050955,113,-117.9932
3.194508283,113,-117.9932
3.197393051,114,-117.6496
3.201722966,114,-117.6496
3.20552156,113,-117.9932
3.21453113,114,-117.6496
3.218004457,114,-117.6496
3.225845595,114,-117.6496
3.230897491,113,-117.9932
3.237151375,113,-117.9932
3.240003774,113,-117.9932
3.243370126,113,-117.9932
3.251421265,113,-117.9932
3.255641837,113,-117.9932
3.261359267,114,-117.6496
3.264155613,114,-117.6496
3.271819906,114,-117.6496
3.276161269,114,-117.6496
3.282491337,114,-117.6496
3.288126661,114,-117.6496
3.293870934,114,-117.6496
3.296022668,114,-117.6496
3.303492748,113,-117.9932
3.30897886,113,-117.9932
3.314699448,113,-117.9932
3.317504478,113,-117.9932
3.321063069,114,-117.6496
3.329243289,114,-117.6496
3.333404255,114,-117.6496
3.33846681,113,-117.9932
3.347615724,113,-117.9932
3.350410491,113,-117.9932
3.35402553,114,-117.6496
3.360778366,114,-117.6496
3.366069081,114,-117.6496
3.371237821,114,-117.6496
3.374598647,114,-117.6496
3.380972532,114,-117.6496
3.386529302,114,-117.6496
3.393414376,114,-117.6496
3.395585452,113,-117.9932
3.402700266,113,-117.9932
3.405880695,113,-117.9932
3.411913918,113,-117.9932
3.414625,113,-117.9932
3.422349689,114,-117.6496
3.426897106,114,-117.6496
3.432291243,114,-117.6496
3.435083642,114,-117.6496
3.443170703,114,-117.6496
3.447318642,114,-117.6496
3.452656331,113,-117.9932
3.459625485,113,-117.9932
3.46374303,113,-117.9932
3.467857811,113,-117.9932
3.4726701,113,-117.9932
3.479907678,114,-117.6496
3.484091539,114,-117.6496
3.488132898,114,-117.6496
3.493419271,114,-117.6496
3.501681202,114,-117.6496
3.504593207,114,-117.6496
3.508841411,113,-117.9932
3.513045009,113,-117.9932
3.522391689,113,-117.9932
3.525984622,113,-117.9932
3.53246864,113,-117.9932
3.537979226,113,-117.9932
3.543714419,114,-117.6496
3.546622477,113,-117.9932
3.553262417,114,-117.6496
3.558664449,114,-117.6496
3.56478412,114,-117.6496
3.567774679,114,-117.6496
3.571045898,114,-117.6496
3.579134933,114,-117.6496
3.583213398,114,-117.6496
3.588203715,113,-117.9932
3.597309603,113,-117.9932
3.600342004,113,-117.9932
3.60376283,113,-117.9932
3.610477376,113,-117.9932
3.615868355,113,-117.9932
3.621534864,113,-117.9932
3.62498727,114,-117.6496
3.631041414,114,-117.6496
3.636463972,114,-117.6496
3.643761156,114,-117.6496
3.646741846,113,-117.9932
3.654933909,113,-117.9932
3.657545121,113,-117.9932
3.663849531,113,-117.9932
3.666687325,113,-117.9932
3.675640053,114,-117.6496
3.678500347,114,-117.6496
3.68155288,114,-117.6496
3.687721499,114,-117.6496
3.69378038,113,-117.9932
3.698583985,113,-117.9932
3.702173366,113,-117.9932
3.710240295,113,-117.9932
3.714258759,113,-117.9932
3.719372235,114,-117.6496
3.722403847,114,-117.6496
3.730713937,114,-117.6496
3.73481727,114,-117.6496
3.741364841,114,-117.6496
3.744184082,113,-117.9932
3.751793111,114,-117.6496
3.755190253,113,-117.9932
3.762159408,113,-117.9932
3.767541702,113,-117.9932
3.772687547,113,-117.9932
3.775869555,114,-117.6496
3.782522127,114,-117.6496
3.787611129,114,-117.6496
3.793555536,114,-117.6496
3.796397672,114,-117.6496
3.802993006,114,-117.6496
3.808534382,113,-117.9932
3.8136447,113,-117.9932
3.816177359,113,-117.9932
3.825825226,113,-117.9932
